source_id,vendor,source_kind,source_group,feature_code,command_name,title,source_path,page_type_candidate,business_awareness_relevance,candidate_scene_tags_json,candidate_semantic_tags_json,object_chain_hints_json,summary_hint,evidence_id,status
SRC-UDG-FEAT-003,UDG,feature_page,计费功能,GWFD-020301,,GWFD-020301 内容计费基本功能特性概述,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\特性指南\\UDG特性指南\\计费功能\\GWFD-020301 内容计费基本功能\\GWFD-020301 内容计费基本功能特性概述_66863837.md,overview,high,"[""差异化计费"",""免费业务"",""默认兜底计费""]","[""计费语义""]","[""SA->URR ID->CG/OCS/CHF""]","明确 UDG 侧业务粒度内容计费定位。",EVI-UDG-FEAT-66863837,accepted
SRC-UNC-FEAT-001,UNC,feature_page,计费管理功能,WSFD-109002,,WSFD-109002 内容计费基本功能特性概述,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\特性部署\\UNC特性指南\\计费管理功能\\WSFD-109002 内容计费基本功能\\特性概述_66402110.md,overview,high,"[""差异化计费"",""免费业务"",""默认兜底计费""]","[""计费语义"",""控制面/用户面协同""]","[""Rule/PDI->UPF match->URR ID->charging report""]","明确 SMF 侧业务粒度内容计费逻辑。",EVI-UNC-FEAT-66402110,accepted
SRC-UNC-FEAT-002,UNC,feature_page,计费管理功能,WSFD-109002,,激活内容计费,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\特性部署\\UNC特性指南\\计费管理功能\\WSFD-109002 内容计费基本功能\\激活内容计费_74013177.md,activation,high,"[""差异化计费""]","[""特性可获得性"",""对象链激活路径""]","[""SET LICENSESWITCH->配置融合计费费率标识""]","说明内容计费激活依赖融合计费或在线/离线计费基础能力。",EVI-UNC-FEAT-74013177,accepted
SRC-UNC-FEAT-003,UNC,feature_page,计费管理功能,WSFD-011206,,WSFD-011206 支持融合计费特性概述,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\特性部署\\UNC特性指南\\计费管理功能\\WSFD-011206 支持融合计费\\特性概述_67655715.md,overview,high,"[""差异化计费"",""配额动作""]","[""融合计费语义"",""在线/离线计费""]","[""SMF->CHF->UPF""]","明确 FBC 属于融合计费分类，内容计费是其业务粒度实现。",EVI-UNC-FEAT-67655715,accepted
SRC-UNC-TOPIC-001,UNC,business_topic,5G Core计费解决方案,WSFD-011206,,配置融合计费费率标识,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\业务专题\\5G Core 计费解决方案\\计费解决方案概述\\计费方案部署与调测\\方案四：部署NCG且基于服务化接口的离线+在线计费组网方案\\SMF配置\\配置融合计费费率标识_90679673.md,configuration,high,"[""差异化计费"",""默认兜底计费"",""配额耗尽动作""]","[""计费语义"",""绑定语义"",""配额语义""]","[""URR->URRGroup->PCCPolicyGrp->Rule->UserProfile""]","SMF 侧第一条最完整的内容计费对象链配置样例。",EVI-UNC-TOPIC-90679673,accepted
SRC-UNC-CMD-001,UNC,command_page,UNC MML命令,,ADD QUOTAEXHAUSTACT,增加配额耗尽后的动作,output\\UNC 20.15.2 产品文档(裸机容器) 05\\OM参考\\命令\\UNC MML命令\\业务服务管理\\会话管理\\计费管理\\融合计费\\配额耗尽处理动作\\增加配额耗尽后的动作（ADD QUOTAEXHAUSTACT）_95129686.md,command,high,"[""配额耗尽动作"",""重定向"",""阻断""]","[""配额语义"",""动作语义""]","[""CCT->QUOTAEXHAUSTACT->FAR action""]","明确在线 RG 配额耗尽后的动作只能是 BLOCK / REDIRECT / FORWARD，并支持重定向地址。",EVI-UNC-CMD-95129686,accepted
SRC-UNC-CMD-002,UNC,command_page,UNC MML命令,,ADD CCT,增加融合计费模板,output\\UNC 20.15.2 产品文档(裸机容器) 05\\OM参考\\命令\\UNC MML命令\\业务服务管理\\会话管理\\计费管理\\融合计费\\融合计费模板\\增加融合计费模板（ADD CCT）_09653176.md,command,high,"[""融合计费"",""配额阈值"",""配额耗尽动作""]","[""计费语义"",""配额语义""]","[""CCT->QuotaExhaustAction""]","定义融合计费模板，包含 QHT/VQT/TQT/UQT/VT/RG 阈值、最终配额动作、无配额触发等参数。",EVI-UNC-CMD-09653176,accepted
SRC-UNC-FEAT-004,UNC,feature_page,计费管理功能,WSFD-011206,,配置融合计费模板,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\特性部署\\UNC特性指南\\计费管理功能\\WSFD-011206 支持融合计费\\激活支持融合计费\\配置融合计费模板_93400212.md,activation,high,"[""融合计费"",""配额阈值"",""CCT绑定粒度""]","[""计费语义"",""配额语义"",""绑定语义""]","[""CCT->UserProfile/DNN/CC""]","说明 CCT 可以按 UserProfile、DNN、CC 粒度绑定，并给出优先级和配置命令链。",EVI-UNC-FEAT-93400212,accepted
SRC-UDG-CMD-001,UDG,command_page,UDG MML命令,,ADD PCCPOLICYGRP,增加PCC策略组,output\\UDG_Product_Documentation_CH_20.15.2\\OM参考\\命令\\UDG MML命令\\用户面服务管理\\业务控制策略\\PCC控制策略\\PCC策略组\\增加PCC策略组（ADD PCCPOLICYGRP）_82837606.md,command,high,"[""计费"",""重定向"",""QoS"",""PCC动作""]","[""动作语义"",""计费语义"",""规则语义""]","[""URRGroup/PCCActionProp/QosProp->PccPolicyGrp""]","说明 PCC 策略组可组合 URRGroup、PCCActionProp、QoS 等动作对象，是 UDG 侧动作汇聚对象。",EVI-UDG-CMD-82837606,accepted
SRC-UDG-FEAT-004,UDG,feature_page,智能策略控制功能,GWFD-020351,,GWFD-020351 PCC基本功能特性概述,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\特性指南\\UDG特性指南\\智能策略控制功能\\GWFD-020351 PCC基本功能\\GWFD-020351 PCC基本功能特性概述_47011385.md,overview,high,"[""策略控制"",""计费控制"",""重定向"",""带宽控制""]","[""PCC语义"",""控制面/用户面协同"",""动作语义""]","[""PCF/SMF->UPF->PDR/action""]","定义 UDG/UPF 执行业务数据流检测、使用量统计、流量上报、QoS、带宽管理、重定向等 PCC 策略控制。",EVI-UDG-FEAT-47011385,accepted
SRC-UDG-FEAT-005,UDG,feature_page,智能策略控制功能,GWFD-020351,,配置本地PCC功能,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\特性指南\\UDG特性指南\\智能策略控制功能\\GWFD-020351 PCC基本功能\\激活PCC基本功能\\配置本地PCC功能_74096529.md,activation,high,"[""本地PCC"",""Rule"",""UserProfile"",""业务感知配置""]","[""规则语义"",""绑定语义"",""动作语义""]","[""PccPolicyGrp->FlowFilter->Rule->UserProfile->RuleBinding""]","说明本地 PCC 需要 UDG 配置 rule/UserProfile，并明确具体规则内容应参见业务感知配置。",EVI-UDG-FEAT-74096529,accepted
SRC-UNC-FEAT-005,UNC,feature_page,智能PCC解决方案,WSFD-109101,,WSFD-109101 PCC基本功能特性概述（适用于5G）,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\特性部署\\UNC特性指南\\智能PCC解决方案\\WSFD-109101 PCC基本功能\\PCC基本功能（5G）\\WSFD-109101 PCC基本功能特性概述（适用于5G）_71770359.md,overview,high,"[""策略控制"",""动态PCC"",""本地PCC"",""规则更新""]","[""PCC语义"",""控制面/用户面协同"",""运行时语义""]","[""PCF->SMF->PDR->UPF action""]","定义 SMF 从 PCF 接收并执行会话管理策略，生成 PDR 下发 UPF，并支持策略更新。",EVI-UNC-FEAT-71770359,accepted
