id,source_feature_id,target_feature_id,dependency_type,description,license_control_item,source_type,conflict_pair_id
GWFD-020412:dep:GWFD-010108,GWFD-020412,GWFD-010108,conflicts_with,L2TP VPN不支持与用户面地址自动检测功能同时应用。,无,overview_explicit,conflict:GWFD-010108-GWFD-020412
GWFD-020412:dep:GWFD-020482,GWFD-020412,GWFD-020482,conflicts_with,APN下开启L2TP VPN特性，则不支持入不转板功能。,无,overview_explicit,conflict:GWFD-020412-GWFD-020482
GWFD-020421:dep:GWFD-010105,GWFD-020421,GWFD-010105,depends_on,基于位置的地址分配是 UDG 通过本地地址池根据用户位置动态分配IP地址，因此使用本特性需要依赖于用户面地址分配特性。,无,overview_explicit,
GWFD-020421:dep:GWFD-020412,GWFD-020421,GWFD-020412,conflicts_with,基于位置的地址分配特性不支持与L2TP VPN功能同时应用。,82200BVC LKV3G5L2TP01 L2TP VPN,overview_explicit,conflict:GWFD-020412-GWFD-020421
GWFD-020423:dep:IPFD-014000,GWFD-020423,IPFD-014000,depends_on,路由交叉功能依赖BGP特性。,-,overview_explicit,
GWFD-020482:dep:GWFD-111201,GWFD-020482,GWFD-111201,conflicts_with,网络加速卡场景，不支持入不转板功能。,82200EBL LKV3G5NPTO01 网络加速卡流量加速单元,overview_explicit,conflict:GWFD-020482-GWFD-111201
GWFD-020482:dep:GWFD-010107,GWFD-020482,GWFD-010107,conflicts_with,应用静态地址用户路由冗余功能的会话，不支持下行入不转板。,-,overview_explicit,conflict:GWFD-010107-GWFD-020482
GWFD-020482:dep:GWFD-020412,GWFD-020482,GWFD-020412,conflicts_with,应用L2TP VPN功能的会话，不支持下行入不转板。,82200BVC LKV3G5L2TP01 L2TP VPN,overview_explicit,conflict:GWFD-020412-GWFD-020482
GWFD-020482:dep:GWFD-110910,GWFD-020482,GWFD-110910,conflicts_with,手机后路由用户的IPv4业务报文，不支持入不转板。,82200CKP LKV3G5RBMS01 支持Routing Behind MS,overview_explicit,conflict:GWFD-020482-GWFD-110910
GWFD-020482:dep:GWFD-020406,GWFD-020482,GWFD-020406,conflicts_with,手机后路由用户的IPv6业务报文，不支持入不转板。,82200CKF LKV3G5P6PD01 IPv6 Prefix Delegation,overview_explicit,conflict:GWFD-020406-GWFD-020482
GWFD-020482:dep:GWFD-010105,GWFD-020482,GWFD-010105,depends_on,仅UPF分配UE IP地址的会话，支持下行入不转板功能。,-,overview_explicit,
GWFD-020482:dep:GWFD-010104,GWFD-020482,GWFD-010104,affects,外部NF分配UE IP地址（例如采用UDM给UE分配的静态签约地址、SMF分配地址、AAA服务器分配地址）的会话，不支持下行入不转板功能。,-,overview_explicit,
GWFD-020501:dep:GWFD-020412,GWFD-020501,GWFD-020412,conflicts_with,辅锚点UPF不支持同企业之间建立L2TP隧道。,82200BVC L2TP VPN,overview_explicit,conflict:GWFD-020412-GWFD-020501
GWFD-020501:dep:GWFD-110910,GWFD-020501,GWFD-110910,conflicts_with,IPv4手机后路由用户不支持ULCL分流功能。,82200CKP 支持Routing Behind MS,overview_explicit,conflict:GWFD-020501-GWFD-110910
GWFD-020501:dep:GWFD-020406,GWFD-020501,GWFD-020406,conflicts_with,IPv6 Prefix Delegation用户不支持ULCL分流功能。,82200CKF IPv6 Prefix Delegation,overview_explicit,conflict:GWFD-020406-GWFD-020501
GWFD-020501:dep:GWFD-010108,GWFD-020501,GWFD-010108,conflicts_with,辅锚点UPF不支持到园区的用户面地址自动检测功能。,-,overview_explicit,conflict:GWFD-010108-GWFD-020501
GWFD-020501:dep:GWFD-020353,GWFD-020501,GWFD-020353,conflicts_with,Session级的FUP功能与ULCL分流功能不能同时部署。,82200AFM 基于累计流量的策略控制,overview_explicit,conflict:GWFD-020353-GWFD-020501
GWFD-020501:dep:GWFD-020358,GWFD-020501,GWFD-020358,conflicts_with,业务触发专载建立与ULCL分流功能不能同时开启。,82200AFP; 业务触发的QoS保证,overview_explicit,conflict:GWFD-020358-GWFD-020501
GWFD-020501:dep:GWFD-010155,GWFD-020501,GWFD-010155,conflicts_with,ULCL分流只支持4G/5G接入，不支持其他接入方式。,-,overview_explicit,conflict:GWFD-010155-GWFD-020501
GWFD-020502:dep:GWFD-020501,GWFD-020502,GWFD-020501,depends_on,使用跨域用户漫游前必须先开启跨域业务访问功能。,NA,overview_explicit,
GWFD-020531:dep:GWFD-110910,GWFD-020531,GWFD-110910,conflicts_with,IPv4手机后路由用户不支持通用DNN漫游分流功能。,82200CKP 支持Routing Behind MS,overview_explicit,conflict:GWFD-020531-GWFD-110910
GWFD-020531:dep:GWFD-020406,GWFD-020531,GWFD-020406,conflicts_with,IPv6 Prefix Delegation用户不支持通用DNN漫游分流功能。,82200CKF IPv6 Prefix Delegation,overview_explicit,conflict:GWFD-020406-GWFD-020531
GWFD-020531:dep:GWFD-010155,GWFD-020531,GWFD-010155,conflicts_with,通用DNN漫游分流只支持4G/5G接入，不支持其他接入方式。,-,overview_explicit,conflict:GWFD-010155-GWFD-020531
GWFD-020531:dep:GWFD-020358,GWFD-020531,GWFD-020358,conflicts_with,不支持针对专网业务触发专载建立，专有DNN的会话Qos传递不到无线侧。,82200AFP; 业务触发的QoS保证,overview_explicit,conflict:GWFD-020358-GWFD-020531
GWFD-020531:dep:GWFD-020351,GWFD-020531,GWFD-020351,depends_on,依赖该特性实现会话策略执行和计费控制。,82209825 PCC 基本功能,overview_explicit,
GWFD-020531:dep:GWFD-030501,GWFD-020531,GWFD-030501,depends_on,依赖该特性实现转接SMF与DN-AAA之间二次鉴权的消息。,82200DLK 终端二次鉴权,overview_explicit,
GWFD-020531:dep:GWFD-110282,GWFD-020531,GWFD-110282,depends_on,依赖该特性实现DNS重定向功能。,82209781 Web Proxy,overview_explicit,
GWFD-110102:dep:GWFD-110101,GWFD-110102,GWFD-110101,depends_on,SA-Basic是SA的基本功能，必须开启。,82209749 SA-Basic,overview_explicit,
GWFD-110102:dep:GWFD-110103,GWFD-110102,GWFD-110103,depends_on,由于要识别HTTP报文实现SA-HTTP Pipeline功能，因此需开启SA-Web Browsing功能。,82209755 SA-Web Browsing,overview_explicit,
GWFD-110102:dep:GWFD-110105,GWFD-110102,GWFD-110105,depends_on,由于要识别WAP报文实现SA-WAP concatenation功能，因此需开启SA-Mobile功能。,82209757 SA-Mobile,overview_explicit,
GWFD-110103:dep:GWFD-110101,GWFD-110103,GWFD-110101,depends_on,SA-Basic是SA的基本功能，必须开启。,82209749 SA-Basic,overview_explicit,
GWFD-110104:dep:GWFD-110101,GWFD-110104,GWFD-110101,depends_on,SA-Basic是SA的基本功能，必须开启。,82209749 SA-Basic,overview_explicit,
GWFD-110105:dep:GWFD-110101,GWFD-110105,GWFD-110101,depends_on,SA-Basic是SA的基本功能，必须开启。,82209749 SA-Basic,overview_explicit,
GWFD-110106:dep:GWFD-110101,GWFD-110106,GWFD-110101,depends_on,SA-Basic是SA的基本功能，必须开启。,82209749 SA-Basic,overview_explicit,
GWFD-110107:dep:GWFD-110101,GWFD-110107,GWFD-110101,depends_on,SA-Basic是SA的基本功能，必须开启。,82209749 SA-Basic,overview_explicit,
GWFD-110131:dep:GWFD-110101,GWFD-110131,GWFD-110101,depends_on,SA-Basic是SA的基本功能，必须开启。,82209749 SA-Basic,overview_explicit,
GWFD-110132:dep:GWFD-110101,GWFD-110132,GWFD-110101,depends_on,SA-Basic是SA的基本功能，必须开启。,82209749 SA-Basic,overview_explicit,
