evidence_id,vendor,source_kind,title,source_path,evidence_summary,status
EVI-UDG-FEAT-66863837,UDG,feature_page,GWFD-020301 内容计费基本功能特性概述,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\特性指南\\UDG特性指南\\计费功能\\GWFD-020301 内容计费基本功能\\GWFD-020301 内容计费基本功能特性概述_66863837.md,"定义 UDG 侧业务粒度内容计费，说明依赖 SA-Basic，并通过 URR ID 承接业务粒度计费。",accepted
EVI-UNC-FEAT-66402110,UNC,feature_page,WSFD-109002 内容计费基本功能特性概述,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\特性部署\\UNC特性指南\\计费管理功能\\WSFD-109002 内容计费基本功能\\特性概述_66402110.md,"定义 SMF 侧业务粒度内容计费，说明 Rule/PDI/URR 标识和上报链。",accepted
EVI-UNC-FEAT-74013177,UNC,feature_page,激活内容计费,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\特性部署\\UNC特性指南\\计费管理功能\\WSFD-109002 内容计费基本功能\\激活内容计费_74013177.md,"说明内容计费激活依赖在线/离线/融合计费基础能力和 License 开通。",accepted
EVI-UNC-FEAT-67655715,UNC,feature_page,WSFD-011206 支持融合计费特性概述,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\特性部署\\UNC特性指南\\计费管理功能\\WSFD-011206 支持融合计费\\特性概述_67655715.md,"定义融合计费框架，并说明内容计费 FBC 属于其业务粒度计费能力。",accepted
EVI-UNC-TOPIC-90679673,UNC,business_topic,配置融合计费费率标识,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\业务专题\\5G Core 计费解决方案\\计费解决方案概述\\计费方案部署与调测\\方案四：部署NCG且基于服务化接口的离线+在线计费组网方案\\SMF配置\\配置融合计费费率标识_90679673.md,"给出 SMF 侧 URR、URRGroup、PccPolicyGrp、Rule、UserProfile、RuleBinding、缺省 URR 组绑定对象链，以及 RG/RG+SID/CP-UP 一致性要求。",accepted
EVI-UNC-CMD-95129686,UNC,command_page,增加配额耗尽后的动作（ADD QUOTAEXHAUSTACT）,output\\UNC 20.15.2 产品文档(裸机容器) 05\\OM参考\\命令\\UNC MML命令\\业务服务管理\\会话管理\\计费管理\\融合计费\\配额耗尽处理动作\\增加配额耗尽后的动作（ADD QUOTAEXHAUSTACT）_95129686.md,"明确在线 RG 配额耗尽后的动作枚举为 BLOCK / REDIRECT / FORWARD，且 REDIRECT 时可配置 IPv4/IPv6 重定向地址。",accepted
EVI-UNC-CMD-09653176,UNC,command_page,增加融合计费模板（ADD CCT）,output\\UNC 20.15.2 产品文档(裸机容器) 05\\OM参考\\命令\\UNC MML命令\\业务服务管理\\会话管理\\计费管理\\融合计费\\融合计费模板\\增加融合计费模板（ADD CCT）_09653176.md,"定义 CCT 融合计费模板，包含配额空闲时间、流量/时间/事件阈值、RG/PDU/QF 阈值、最终配额动作、无配额触发等配置项。",accepted
EVI-UNC-FEAT-93400212,UNC,feature_page,配置融合计费模板,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\特性部署\\UNC特性指南\\计费管理功能\\WSFD-011206 支持融合计费\\激活支持融合计费\\配置融合计费模板_93400212.md,"说明 CCT 可以按 UserProfile、DNN、CC 粒度绑定，优先级为 UserProfile > DNN > CC > 整机通用参数，并给出 ADD CCT、SET USRPROFCHARGE、SET APNCHARGECTRL 等命令链。",accepted
EVI-UDG-CMD-82837606,UDG,command_page,增加PCC策略组（ADD PCCPOLICYGRP）,output\\UDG_Product_Documentation_CH_20.15.2\\OM参考\\命令\\UDG MML命令\\用户面服务管理\\业务控制策略\\PCC控制策略\\PCC策略组\\增加PCC策略组（ADD PCCPOLICYGRP）_82837606.md,"说明 PCC 策略组可组合 URRGroup、PCCActionProp、QoSProp、扩展属性等对象，并可通过 ServiceProp 选择不同策略集。",accepted
EVI-UDG-FEAT-47011385,UDG,feature_page,GWFD-020351 PCC基本功能特性概述,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\特性指南\\UDG特性指南\\智能策略控制功能\\GWFD-020351 PCC基本功能\\GWFD-020351 PCC基本功能特性概述_47011385.md,"定义 UDG/UPF 在 PCC 中执行数据流检测、使用量统计、流量上报、QoS、带宽管理、重定向等策略控制，并说明 SMF/PCF 到 UPF 的策略下发关系。",accepted
EVI-UDG-FEAT-74096529,UDG,feature_page,配置本地PCC功能,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\特性指南\\UDG特性指南\\智能策略控制功能\\GWFD-020351 PCC基本功能\\激活PCC基本功能\\配置本地PCC功能_74096529.md,"说明本地 PCC 场景下 UDG 需要配置 rule/UserProfile，具体规则内容根据业务策略确定，并引用业务感知配置作为规则内容来源。",accepted
EVI-UNC-FEAT-71770359,UNC,feature_page,WSFD-109101 PCC基本功能特性概述（适用于5G）,output\\UNC 20.15.2 产品文档(裸机容器) 05\\网络部署\\特性部署\\UNC特性指南\\智能PCC解决方案\\WSFD-109101 PCC基本功能\\PCC基本功能（5G）\\WSFD-109101 PCC基本功能特性概述（适用于5G）_71770359.md,"定义 SMF 接收并执行会话管理策略，生成 PDR 下发 UPF，UPF 执行数据包检测、门控、重定向等策略执行，并说明动态 PCC、本地 PCC 与策略更新机制。",accepted
